title,company,location,date_posted,scraped_date
Principal UX Designer,Petadata,"Tenderloin, San Francisco",2024-06-12T19:10:21Z,2024-06-19
UX Designer V,SUTTER HEALTH,"San Francisco, California",2024-05-21T07:52:25Z,2024-06-19
UX Designer V,Sutter Health,"Panhandle, San Francisco",2024-05-23T13:46:26Z,2024-06-19
Director of UX Design,Figure,"Panhandle, San Francisco",2024-06-14T14:11:21Z,2024-06-19
Senior UI/UX Designer,CONTACT GOVERNMENT SERVICES,"Panhandle, San Francisco",2024-04-27T06:27:25Z,2024-06-19
"Senior UX Designer, eero","Amazon.com, Inc.","Panhandle, San Francisco",2024-05-04T14:38:48Z,2024-06-19
"Senior UX Designer, eero",Amazon,"SoMa, San Francisco",2024-05-06T16:24:56Z,2024-06-19
"Principal UX Design, Amazon","Amazon.com, Inc.","Panhandle, San Francisco",2024-06-03T14:02:39Z,2024-06-19
"Principal UX Design, Amazon",Amazon,"San Francisco, California",2024-06-16T11:16:15Z,2024-06-19
"Principal UX Designer, eero","Amazon.com, Inc.","Panhandle, San Francisco",2024-05-07T14:38:56Z,2024-06-19
"Principal UX Designer, eero",Amazon,"SoMa, San Francisco",2024-05-06T16:25:04Z,2024-06-19
"UX Design Manager, Kindle",Amazon,"SoMa, San Francisco",2024-04-29T14:07:07Z,2024-06-19
"Principal UX Designer, Alexa UX Team",Amazon,"SoMa, San Francisco",2024-04-08T14:09:22Z,2024-06-19
"Sr. UX Designer, Prime Video_",Amazon,"San Francisco, California",2024-06-13T11:03:26Z,2024-06-19
Lead Mobile UI/UX Designer,Leads2you,"San Francisco, California",2024-05-25T10:23:11Z,2024-06-19
"Senior UX Designer, Pokémon GO",Niantic,"Panhandle, San Francisco",2024-02-04T09:14:25Z,2024-06-19
"UX Designer, World Wide Grocery Stores_",Amazon,"San Francisco, California",2024-06-18T10:57:49Z,2024-06-19
UX Designer (of a Healthcare Startup Supported by LGE NOVA),LG Electronics,"Panhandle, San Francisco",2024-01-22T14:28:06Z,2024-06-19
"Senior UX Designer, Alexa Personality, Design (Alexa Experiences & Services)_",Amazon,"San Francisco, California",2024-06-16T11:18:39Z,2024-06-19
"Senior UX Designer, Alexa Personality, Design (Alexa Experiences & Services)","Amazon.com, Inc.","Panhandle, San Francisco",2024-05-09T14:26:35Z,2024-06-19
"Senior UX Designer, Alexa Personality, Design (Alexa Experiences & Services)",Amazon,"SoMa, San Francisco",2024-05-13T15:26:59Z,2024-06-19
UX AI Design Intern,RadicalX,"SoMa, San Francisco",2024-05-23T05:25:52Z,2024-06-19
Full-Stack Software Engineer,Unreal Gigs,"San Francisco, California",2024-06-02T07:18:03Z,2024-06-19
Product Manager,Purple Panda Labs,"San Francisco, California",2024-06-18T19:29:19Z,2024-06-19
UI/UX Director,Glu Mobile Inc.,"Panhandle, San Francisco",2022-09-22T12:56:23Z,2024-06-19
Product Designer (UI/UX),Tomo Credit,"San Francisco, California",2024-05-28T16:34:50Z,2024-06-19
Product Engineer,Unreal Gigs,"San Francisco, California",2024-05-31T07:14:39Z,2024-06-19
Product Designer (UI/UX),Tomo Credit,"SoMa, San Francisco",2024-05-29T14:43:24Z,2024-06-19
Product Designer (UI/UX),Tomo Credit,"San Francisco, California",2024-06-19T07:38:07Z,2024-06-19
Product Designer (UI/UX),Tomocredit,"Panhandle, San Francisco",2024-05-30T13:36:49Z,2024-06-19
"Motion Designer, Consumer UX",Google LLC,"Panhandle, San Francisco",2024-06-16T13:46:46Z,2024-06-19
"Apps UX Senior Staff Designer, Search",Google,"Hayes Valley, San Francisco",2024-06-11T11:47:11Z,2024-06-19
"Apps UX Senior Staff Designer, Search",Google LLC,"Panhandle, San Francisco",2024-06-01T13:54:52Z,2024-06-19
"Sr Product Designer, Art19, ART19",Amazon,"SoMa, San Francisco",2024-05-06T16:24:55Z,2024-06-19
"Sr Product Designer, Art19, ART19",Amazon,"San Francisco, California",2024-06-12T11:12:20Z,2024-06-19
Product Engineer,Unreal Gigs,"San Francisco, California",2024-04-26T19:59:35Z,2024-06-19
Founding Product Designer,,"San Francisco, California",2024-06-06T23:40:56Z,2024-06-19
Product Engineer,Unreal Gigs,"Hayes Valley, San Francisco",2024-05-27T08:48:11Z,2024-06-19
"Senior Product Design Manager, Commerce",Oura,"Panhandle, San Francisco",2024-04-21T06:25:59Z,2024-06-19
Sr. UX Manager,The Gap,"Panhandle, San Francisco",2024-06-14T14:03:12Z,2024-06-19
"Staff UX Writer Content Designer, Google Assistant",Google LLC,"Panhandle, San Francisco",2024-06-19T14:26:53Z,2024-06-19
Sr. UX Manager,Gap Inc.,"SoMa, San Francisco",2024-06-13T15:21:13Z,2024-06-19
Sr. UX Manager,Gap Inc.,"San Francisco, California",2024-06-16T11:19:39Z,2024-06-19
Sr. UX Manager_,Gap Inc.,"San Francisco, California",2024-06-16T11:19:43Z,2024-06-19
"UX Writer and Content Designer, Gemini",Google LLC,"Panhandle, San Francisco",2024-06-16T13:46:47Z,2024-06-19
UX Writer - Lead Content Designer,WELLS FARGO,"Panhandle, San Francisco",2024-05-31T13:38:20Z,2024-06-19
UX Writer - Lead Content Designer,Wells Fargo,"SoMa, San Francisco",2024-05-30T14:44:33Z,2024-06-19
UX Writer - Lead Content Designer_,WELLS FARGO,"San Francisco, California",2024-06-19T10:55:07Z,2024-06-19
Visual Designer,Grand Rounds,"Panhandle, San Francisco",2022-09-24T10:16:42Z,2024-06-19
"Senior UX Program Manager , Alexa UX",Amazon,"SoMa, San Francisco",2024-05-13T15:27:13Z,2024-06-19
